sample,time,code,chan
392929,191.85986328125,162.0,-1.0
393049,191.91845703125,132.0,1.0
393114,191.9501953125,133.0,3.0
393754,192.2626953125,192.0,-1.0
393906,192.3369140625,132.0,3.0
397880,194.27734375,34.0,-1.0
398937,194.79345703125,50.0,-1.0
399404,195.021484375,131.0,0.0
399555,195.09521484375,131.0,2.0
399587,195.11083984375,131.0,3.0
399587,195.11083984375,133.0,3.0
399719,195.17529296875,98.0,-1.0
399780,195.205078125,132.0,0.0
399873,195.25048828125,133.0,2.0
399896,195.26171875,132.0,3.0
400573,195.59228515625,132.0,2.0
404672,197.59375,34.0,-1.0
405729,198.10986328125,50.0,-1.0
406325,198.40087890625,131.0,0.0
406362,198.4189453125,132.0,0.0
406398,198.4365234375,131.0,0.0
406457,198.46533203125,131.0,2.0
406505,198.48876953125,131.0,3.0
406590,198.5302734375,98.0,-1.0
406628,198.548828125,132.0,0.0
406732,198.599609375,133.0,2.0
406783,198.62451171875,133.0,3.0
406784,198.625,132.0,3.0
407127,198.79248046875,132.0,2.0
411533,200.94384765625,34.0,-1.0
412590,201.4599609375,42.0,-1.0
413079,201.69873046875,131.0,0.0
413145,201.73095703125,131.0,2.0
413214,201.7646484375,133.0,3.0
413214,201.7646484375,131.0,3.0
413291,201.80224609375,98.0,-1.0
413333,201.82275390625,132.0,0.0
413417,201.86376953125,133.0,2.0
413506,201.9072265625,132.0,3.0
413825,202.06298828125,132.0,2.0
414115,202.20458984375,192.0,-1.0
418223,204.21044921875,34.0,-1.0
419280,204.7265625,38.0,-1.0
419735,204.94873046875,131.0,1.0
419805,204.98291015625,131.0,3.0
419861,205.01025390625,162.0,-1.0
419974,205.0654296875,132.0,1.0
420032,205.09375,133.0,3.0
420503,205.32373046875,132.0,3.0
420685,205.41259765625,192.0,-1.0
424810,207.4267578125,34.0,-1.0
425867,207.94287109375,42.0,-1.0
426295,208.15185546875,131.0,0.0
426427,208.21630859375,131.0,2.0
426472,208.23828125,131.0,3.0
426472,208.23828125,133.0,3.0
426577,208.28955078125,98.0,-1.0
426618,208.3095703125,132.0,0.0
426705,208.35205078125,133.0,2.0
426724,208.361328125,132.0,3.0
427113,208.55126953125,132.0,2.0
427401,208.69189453125,192.0,-1.0
431534,210.7099609375,34.0,-1.0
432592,211.2265625,35.0,-1.0
433139,211.49365234375,131.0,1.0
433175,211.51123046875,131.0,3.0
433241,211.54345703125,162.0,-1.0
433343,211.59326171875,132.0,1.0
433407,211.62451171875,133.0,3.0
433906,211.8681640625,132.0,3.0
434065,211.94580078125,192.0,-1.0
438190,213.9599609375,34.0,-1.0
439247,214.47607421875,50.0,-1.0
439811,214.75146484375,131.0,0.0
439914,214.8017578125,131.0,2.0
439969,214.82861328125,131.0,3.0
439969,214.82861328125,133.0,3.0
440087,214.88623046875,132.0,0.0
440101,214.89306640625,98.0,-1.0
440140,214.912109375,132.0,3.0
440188,214.935546875,133.0,2.0
440621,215.14697265625,132.0,2.0
445051,217.31005859375,34.0,-1.0
446108,217.826171875,50.0,-1.0
446747,218.13818359375,131.0,0.0
446883,218.20458984375,131.0,2.0
446908,218.216796875,133.0,3.0
446908,218.216796875,131.0,3.0
447046,218.2841796875,98.0,-1.0
447086,218.3037109375,132.0,0.0
447183,218.35107421875,133.0,2.0
447282,218.3994140625,132.0,3.0
447617,218.56298828125,132.0,2.0
451980,220.693359375,34.0,-1.0
453037,221.20947265625,50.0,-1.0
453675,221.52099609375,131.0,0.0
453770,221.5673828125,131.0,2.0
453859,221.61083984375,98.0,-1.0
453956,221.658203125,132.0,0.0
454008,221.68359375,133.0,2.0
454605,221.97509765625,132.0,2.0
458806,224.0263671875,34.0,-1.0
459864,224.54296875,35.0,-1.0
460595,224.89990234375,131.0,1.0
460654,224.9287109375,131.0,3.0
460707,224.95458984375,162.0,-1.0
460804,225.001953125,132.0,1.0
460869,225.03369140625,133.0,3.0
462062,225.6162109375,132.0,3.0
465633,227.35986328125,34.0,-1.0
466690,227.8759765625,38.0,-1.0
467261,228.15478515625,131.0,1.0
467299,228.17333984375,131.0,3.0
467342,228.1943359375,162.0,-1.0
467426,228.2353515625,132.0,1.0
467512,228.27734375,133.0,3.0
467911,228.47216796875,132.0,3.0
468166,228.5966796875,192.0,-1.0
472289,230.60986328125,34.0,-1.0
473346,231.1259765625,50.0,-1.0
473919,231.40576171875,131.0,0.0
474017,231.45361328125,131.0,2.0
474067,231.47802734375,131.0,3.0
474067,231.47802734375,133.0,3.0
474142,231.5146484375,98.0,-1.0
474181,231.53369140625,132.0,0.0
474279,231.58154296875,133.0,2.0
474321,231.60205078125,132.0,3.0
474694,231.7841796875,132.0,2.0
483160,235.91796875,127.0,-1.0
595272,290.66015625,63.0,-1.0
599400,292.67578125,34.0,-1.0
600457,293.19189453125,38.0,-1.0
601280,293.59375,131.0,1.0
601329,293.61767578125,131.0,3.0
601405,293.65478515625,162.0,-1.0
601684,293.791015625,133.0,3.0
601733,293.81494140625,132.0,1.0
602503,294.19091796875,132.0,3.0
606329,296.05908203125,34.0,-1.0
607385,296.57470703125,50.0,-1.0
607813,296.78369140625,131.0,0.0
607933,296.84228515625,132.0,0.0
608033,296.89111328125,131.0,2.0
608041,296.89501953125,131.0,0.0
